Designator,Mid X,Mid Y,Layer,Rotation
C3055,119.964,-103.416,bottom,180
C3056,120.001,-100.496,bottom,90
C3057,118.941,-100.451,bottom,90
C3058,121.896,-102.016,bottom,0
C3059,117.561,-102.226,bottom,180
C3060,117.283,-100.266,bottom,180
C3061,140.901,-92.011,bottom,90
C3062,140.021,-92.121,bottom,90
C3063,120.636801,-104.782221,bottom,60
C3064,123.146,-100.526,bottom,0
C3065,115.481,-102.316,bottom,180
C3066,116.937985,-97.688102,bottom,70
C3067,121.791,-97.636,bottom,25
C3068,121.926,-98.476,bottom,0
C3069,123.181,-98.726,bottom,45
C3070,115.521,-103.296,bottom,180
C3071,119.341,-98.556,bottom,90
C3072,119.961,-97.971,bottom,90
C3073,119.731,-85.271,bottom,90
C3074,118.851,-85.381,bottom,90
C3075,117.257358,-103.804189,bottom,175
C3076,115.546,-101.376,bottom,180
C3077,118.711,-98.611,bottom,90
C3078,123.401,-102.695513,bottom,-25
C3080,118.071,-85.391,bottom,90
C3082,110.381,-116.716,bottom,-90
C3083,109.091,-116.726,bottom,-90
C3085,119.794015,-104.5889,bottom,-110
C3086,118.341,-104.522,bottom,-90
C3090,139.776,-98.906,bottom,90
C3091,138.9414,-99.061,bottom,90
C3092,123.109597,-101.675307,bottom,-45
C3093,139.951,-106.931,bottom,90
C3094,139.176,-106.9384,bottom,90
C3095,121.491,-103.706,bottom,-90
C3096,139.776,-100.831,bottom,-90
C3097,138.826,-100.716,bottom,-90
C3098,122.076,-102.686,bottom,180
C3099,139.776,-102.8532,bottom,90
C3100,138.9576,-103.0044,bottom,90
C3101,124.241,-103.976,bottom,0
C3102,139.971,-94.771,bottom,-90
C3103,139.251,-94.771,bottom,-90
C3104,120.891,-100.566,bottom,90
C3105,139.776,-96.901,bottom,-90
C3106,138.8414,-96.721,bottom,-90
C3107,121.89263,-101.045081,bottom,45
C3108,106.411,-89.901,bottom,180
C3109,106.581,-90.741,bottom,180
C3110,118.601,-103.566,bottom,0
C3111,110.371,-89.901,bottom,180
C3112,110.521,-90.751,bottom,180
C3113,118.682,-101.473,bottom,180
C3114,108.391,-89.901,bottom,180
C3115,108.491,-90.761,bottom,180
C3116,115.396,-104.646,bottom,180
C3117,139.426,-104.981,bottom,90
C3118,123.205645,-104.381356,bottom,-45
C3119,122.546,-103.346,bottom,180
C3120,117.159869,-105.346315,bottom,-25
C3122,115.466,-100.386,bottom,180
C3123,115.601001,-99.766,bottom,180
C3124,134.351,-99.231,bottom,0
C4001,126.464492,-131.440984,bottom,90
C4002,125.504492,-131.405984,bottom,90
C4003,116.804492,-120.090984,bottom,90
C4004,117.856,-126.201,bottom,0
C4005,114.610492,-131.305984,bottom,90
C4006,124.684492,-120.981,bottom,90
C4007,124.684492,-124.990984,bottom,90
C4008,124.684492,-127.380984,bottom,90
C4009,124.194492,-128.630984,bottom,0
C4010,124.674492,-129.770984,bottom,90
C4011,123.414492,-131.830984,bottom,0
C4012,124.234492,-132.520984,bottom,180
C4013,117.839492,-132.620984,bottom,0
C4014,117.484492,-131.380984,bottom,90
C4015,117.484492,-129.780984,bottom,90
C4016,118.184492,-128.970984,bottom,-90
C4017,118.634492,-127.720984,bottom,180
C4018,123.205492,-134.220984,bottom,180
C4020,128.114492,-135.260984,bottom,-90
C4021,126.734492,-135.255984,bottom,-90
C5003,157.351,-79.401,bottom,0
C5004,157.361,-78.101,bottom,0
C5005,157.361,-76.501,bottom,0
C5006,157.361,-75.226,bottom,0
C5007,153.121,-84.381,bottom,90
C5008,149.041,-80.361,bottom,0
C5009,154.481,-82.711,bottom,180
C5010,154.481,-80.721,bottom,180
C5011,149.281,-86.951,bottom,-90
C5012,150.381,-86.951,bottom,-90
C5013,151.981,-86.951,bottom,-90
C5014,153.081,-86.951,bottom,-90
C5015,149.058,-82.713,bottom,0
C5016,148.061,-85.501,bottom,-90
C5017,149.261,-83.991,bottom,0
C5021,175.576,-92.901,bottom,-90
C6001,139.791,-121.666,bottom,0
C6002,141.821,-122.706,bottom,90
C6003,139.311,-126.186,bottom,0
C6004,139.221,-120.646,bottom,180
C6005,136.971,-126.196,bottom,180
C6006,171.401,-112.526,bottom,-90
C6007,169.951,-112.401,bottom,-90
C6008,136.331,-119.676,bottom,90
C6009,135.261,-119.676,bottom,90
C6012,164.74,-129.58,bottom,90
C6013,132.971,-84.351,bottom,-90
C6014,131.631,-83.781,bottom,-90
C6015,130.541,-83.781,bottom,-90
D1004,109.411,-134.411,bottom,90
D5001,150.601,-71.201,bottom,90
D5002,147.401,-71.201,bottom,90
D5003,149.001,-71.201,bottom,90
D6003,134.511,-123.626,bottom,0
D6004,134.511,-125.346,bottom,0
D6005,134.511,-127.066,bottom,0
D6006,137.041,-82.966,bottom,90
D6007,135.941,-82.966,bottom,90
D6008,134.841,-82.966,bottom,90
D6009,129.401,-82.966,bottom,90
D6010,127.201,-82.966,bottom,90
D6011,126.101,-82.966,bottom,90
D6012,125.001,-82.966,bottom,90
FB3001,140.901,-98.881,bottom,-90
FB3002,140.901,-106.7494,bottom,-90
FB3003,140.901,-100.866,bottom,90
FB3004,140.901,-102.8352,bottom,-90
FB3005,140.901,-94.961,bottom,90
FB3006,140.901,-96.921,bottom,90
FB3007,106.411,-88.831,bottom,0
FB3008,110.371,-88.831,bottom,0
FB3009,108.391,-88.831,bottom,0
FB3010,140.901,-104.791,bottom,-90
FB4001,128.214492,-131.930984,bottom,180
FB5001,155.776,-77.286,bottom,90
FB5002,151.181,-85.351,bottom,0
J6003,131.326,-73.351,bottom,0
L3001,159.101,-113.326,bottom,90
L3002,153.201,-117.495446,bottom,180
L3003,153.201,-121.295446,bottom,180
L3004,165.166625,-104.361,bottom,180
Q5001,155.271,-73.041,bottom,180
Q5002,155.271,-70.701,bottom,180
R1018,105.451,-117.241,bottom,90
R1019,114.561,-93.181,bottom,-90
R1045,110.931,-101.201,bottom,90
R1047,110.901,-105.661,bottom,90
R1052,110.901,-103.591,bottom,-90
R1053,109.621,-101.201,bottom,-90
R1054,135.821,-140.171,bottom,90
R1055,138.597,-140.171,bottom,90
R1056,137.209,-140.171,bottom,90
R1057,133.045,-140.171,bottom,90
R1058,131.657,-140.171,bottom,90
R1059,109.411,-136.881,bottom,-90
R1061,134.433,-140.171,bottom,-90
R3007,156.901,-125.221,bottom,90
R3008,113.171,-103.581,bottom,180
R3009,113.171,-104.551,bottom,0
R3010,166.841,-97.526,bottom,180
R3011,168.861,-97.521,bottom,180
R3012,164.191625,-97.526,bottom,180
R3013,162.591625,-96.961,bottom,90
R3014,164.191625,-98.661,bottom,180
R4001,119.051,-124.826,bottom,90
R4002,118.191,-124.826,bottom,90
R4009,123.204492,-135.330984,bottom,180
R4010,125.364492,-135.245984,bottom,-90
R5005,147.051,-74.486,bottom,90
R5006,141.911,-82.002,bottom,180
R5007,141.911,-80.539,bottom,180
R5027,178.401,-92.901,bottom,-90
R5028,157.126,-73.036,bottom,-90
R5029,153.426,-73.091,bottom,-90
R5030,157.126,-70.701,bottom,-90
R5031,153.426,-70.651,bottom,90
R5035,148.514,-74.486,bottom,90
R5036,145.588,-74.486,bottom,90
R5037,141.911,-79.076,bottom,180
R6012,141.071,-126.656,bottom,90
R6013,134.701,-122.226,bottom,0
R6015,129.591,-103.566,bottom,180
R6016,171.751,-109.491,bottom,180
R6017,171.751,-107.071,bottom,180
R6018,124.931,-105.186,bottom,180
R6019,142.301,-126.651,bottom,90
R6020,139.851,-123.096,bottom,180
R6024,137.041,-85.136,bottom,90
R6025,135.941,-85.136,bottom,90
R6026,134.841,-85.136,bottom,90
R6027,129.401,-85.136,bottom,90
R6028,127.201,-85.136,bottom,90
R6029,126.101,-85.136,bottom,90
R6030,125.001,-85.136,bottom,90
U3001,161.101,-119.151,bottom,-90
U3002,166.317625,-99.803,bottom,-90
X1002,107.691,-105.161,bottom,-90
C1001,152.19,-103.86,top,90
C1002,154.591,-104.056,top,0
C1003,150.891,-91.121,top,0
C1004,154.591,-102.946,top,0
C1007,110.77,-110.881,top,-90
C1008,110.77,-108.821,top,90
C1010,123.221,-87.801,top,0
C1011,105.131,-134.611,top,180
C2001,122.59,-77.5,top,-90
C2002,116.19,-80.67,top,-90
C3001,161.351,-114.126,top,90
C3004,156.251,-117.051,top,90
C3007,156.251,-122.001,top,-90
C3019,166.426625,-101.207,top,180
C3048,133.401,-107.331,top,-90
C3079,126.404,-91.822,top,-90
C3081,118.691,-85.341,top,90
C3084,119.841,-114.766,top,0
C3087,110.431,-116.716,top,-90
C3088,119.831,-115.526,top,0
C3089,109.141,-116.726,top,-90
C3121,139.111,-111.551,top,0
C4019,126.934492,-122.940984,top,90
C5001,155.726,-78.601,top,90
C5002,155.426,-84.646,top,-90
C5018,145.151,-83.826,top,-90
C5019,144.101,-83.826,top,-90
C5020,153.901,-77.051,top,0
C6010,158.415,-131.521,top,180
C6011,159.43,-129.705,top,-90
C6016,124.701,-79.781,top,-90
C6017,131.231,-78.621,top,90
D1001,147.521,-110.831,top,90
D1002,149.166,-110.831,top,90
D1003,150.811,-110.831,top,90
D1005,108.261,-140.181,top,90
D1006,108.261,-137.741,top,-90
D6001,171.871,-106.841,top,0
D6002,171.871,-108.201,top,0
D6013,122.701,-83.826,top,90
D6014,120.976,-83.826,top,90
D7001,128.291,-141.151,top,90
D7002,126.401,-141.156,top,90
D7003,124.511,-141.161,top,90
FB1001,154.101,-101.356,top,-90
FB2001,123.101,-75.901,top,180
FB3011,129.031,-87.241,top,180
J1001,102.101,-122.451,top,0
J1003,112.081,-138.991,top,90
J1004,102.101,-104.041,top,0
J2002,144.141,-67.451,top,90
J2003,119.201,-67.541,top,0
J6001,178.176,-108.021,top,90
J6002,169.236,-130.201,top,90
L5001,147.081,-84.271,top,90
L6001,168.721,-107.446,top,0
L6002,164.901,-126.626,top,0
R1001,146.181,-113.311,top,-90
R1002,135.196,-96.971,top,0
R1003,135.196,-98.810694,top,0
R1004,135.196,-100.650388,top,0
R1005,135.196,-102.490082,top,0
R1006,135.196,-104.329775,top,0
R1007,135.196,-106.169469,top,0
R1008,135.196,-108.009163,top,0
R1009,135.196,-109.848857,top,0
R1010,141.656,-109.829571,top,0
R1011,141.666,-107.989877,top,0
R1012,141.666,-106.150183,top,0
R1013,141.666,-104.310489,top,0
R1014,141.666,-102.470796,top,0
R1015,141.666,-100.631102,top,0
R1016,141.666,-98.791408,top,0
R1017,141.666,-96.951714,top,0
R1020,149.861,-100.427,top,90
R1021,151.161,-100.127,top,0
R1022,148.936,-100.427,top,90
R1023,149.201,-90.891,top,90
R1024,147.297667,-113.311,top,90
R1025,148.414333,-113.311,top,90
R1026,149.531,-113.311,top,90
R1027,138.426,-96.973143,top,0
R1028,138.451,-98.812837,top,0
R1029,138.451,-100.652531,top,0
R1030,138.451,-102.492225,top,0
R1031,138.451,-104.331918,top,0
R1032,138.451,-106.171612,top,0
R1033,138.451,-108.011306,top,0
R1034,138.451,-109.851,top,0
R1035,144.851,-109.839571,top,0
R1036,144.851,-107.998347,top,0
R1037,144.861,-106.157122,top,0
R1038,144.876,-104.315898,top,0
R1039,144.876,-102.474673,top,0
R1040,144.876,-100.633449,top,0
R1041,144.876,-98.792224,top,0
R1042,144.876,-96.951,top,0
R1043,108.287,-98.491,top,0
R1044,108.287,-99.825,top,0
R1046,110.773,-99.201,top,180
R1048,117.4,-93.22,top,-90
R1049,110.771,-101.621,top,180
R1051,110.771,-100.571,top,180
R1060,121.101,-91.591,top,90
R2001,116.011,-67.971,top,0
R2002,116.58,-74.65,top,-90
R3001,150.361,-130.601,top,180
R3002,150.361,-131.661,top,0
R3003,162.481,-124.671,top,90
R3004,166.921,-115.191,top,180
R3005,157.801,-116.391,top,-90
R3006,166.921,-116.311,top,180
R4003,127.374492,-121.021,top,-90
R4004,128.734492,-121.021,top,90
R4005,114.954492,-120.760984,top,90
R4006,115.061,-128.071,top,90
R4007,121.491,-114.871,top,90
R4008,114.944492,-122.900984,top,-90
R5001,148.514,-74.486,top,-90
R5002,145.588,-74.486,top,-90
R5003,141.911,-79.076,top,0
R5004,127.851,-91.626,top,-90
R5008,144.186,-79.076,top,0
R5009,145.588,-76.761,top,-90
R5010,147.051,-76.761,top,-90
R5011,148.514,-76.761,top,-90
R5012,144.186,-82.002,top,0
R5013,144.186,-80.539,top,0
R5014,128.706,-94.705,top,0
R5015,128.706,-93.301,top,0
R5016,128.691,-100.321,top,0
R5017,128.706,-98.917,top,0
R5018,128.706,-97.513,top,0
R5019,128.706,-96.109,top,0
R5020,148.726,-86.961,top,-90
R5021,152.226,-86.951,top,90
R5022,151.059333,-86.951,top,-90
R5023,153.601,-86.941,top,-90
R5024,149.892667,-86.951,top,-90
R5025,171.911,-94.731,top,0
R5026,171.911,-93.501,top,0
R5032,147.051,-74.486,top,-90
R5033,141.911,-82.002,top,0
R5034,141.911,-80.539,top,0
R6001,128.256,-110.126,top,0
R6002,131.421,-101.461,top,180
R6003,131.421,-100.341,top,0
R6004,141.451,-113.636,top,-90
R6005,139.251,-113.636,top,-90
R6006,137.051,-113.636,top,-90
R6007,134.851,-113.636,top,-90
R6008,133.751,-113.636,top,-90
R6009,140.351,-113.636,top,-90
R6010,138.151,-113.636,top,-90
R6011,135.951,-113.636,top,-90
R6014,111.251,-96.651,top,90
R6021,162.78,-132.591,top,0
R6022,161.19,-133.101,top,90
R6023,157.81,-129.226,top,0
R6031,122.701,-80.791,top,-90
R7001,121.771,-139.811,top,0
R7002,121.771,-140.991,top,0
R7003,121.771,-142.171,top,0
SW7001,151.941,-139.626,top,-90
SW7002,166.859402,-139.626,top,-90
SW7003,159.461,-139.626,top,-90
SW7004,144.441,-139.626,top,-90
U1001,150.086,-95.639,top,90
U1002,119.401,-101.916,top,90
U1003,106.141,-137.476,top,90
U1004,123.882,-90.0855,top,180
U2001,106.701,-76.701,top,90
U4001,121.034492,-126.176,top,180
U5001,171.255,-81.966,top,-90
U5002,151.711,-81.7115,top,180
U5003,157.741,-80.126,top,180
U5004,157.741,-83.301,top,180
U6001,171.001,-112.8885,top,90
U6002,140.051,-122.426,top,0
U6003,162.1525,-130.176,top,0
U6004,128.001,-79.781,top,0
X1001,149.661,-103.702,top,90
X1003,108.59,-109.851,top,90
