Designator,Mid X,Mid Y,Rotation,Layer
C3083,109.091,-116.726,-90,bottom
C3085,119.794015,-104.5889,-110,bottom
C3086,118.341,-104.522,-90,bottom
C3090,139.776,-98.906,90,bottom
C3091,138.9414,-99.061,90,bottom
C3092,123.109597,-101.675307,-45,bottom
C3093,139.951,-106.931,90,bottom
C3094,139.176,-106.9384,90,bottom
C3095,121.491,-103.706,-90,bottom
C3096,139.776,-100.831,-90,bottom
C3097,138.826,-100.716,-90,bottom
C3098,122.076,-102.686,180,bottom
C3099,139.776,-102.8532,90,bottom
C3100,138.9576,-103.0044,90,bottom
C3101,124.241,-103.976,0,bottom
C3102,139.971,-94.771,-90,bottom
C3103,139.251,-94.771,-90,bottom
C3104,120.891,-100.566,90,bottom
C3105,139.776,-96.901,-90,bottom
C3106,138.8414,-96.721,-90,bottom
C3107,121.89263,-101.045081,45,bottom
C3108,106.411,-89.901,180,bottom
C3109,106.581,-90.741,180,bottom
C3110,118.601,-103.566,0,bottom
C3111,110.371,-89.901,180,bottom
C3112,110.521,-90.751,180,bottom
C3113,118.682,-101.473,180,bottom
C3114,108.391,-89.901,180,bottom
C3115,108.491,-90.761,180,bottom
C3116,115.396,-104.646,180,bottom
C3117,139.426,-104.981,90,bottom
C3118,123.205645,-104.381356,-45,bottom
C3119,122.546,-103.346,180,bottom
C3120,117.159869,-105.346315,-25,bottom
C3122,115.466,-100.386,180,bottom
C3123,115.601001,-99.766,180,bottom
C3124,134.351,-99.231,0,bottom
C4001,126.464492,-131.440984,90,bottom
C4002,125.504492,-131.405984,90,bottom
C4003,116.804492,-120.090984,90,bottom
C4004,117.856,-126.201,0,bottom
C4005,114.610492,-131.305984,90,bottom
C4006,124.684492,-120.981,90,bottom
C4007,124.684492,-124.990984,90,bottom
C4008,124.684492,-127.380984,90,bottom
C4009,124.194492,-128.630984,0,bottom
C4010,124.674492,-129.770984,90,bottom
C4011,123.414492,-131.830984,0,bottom
C4012,124.234492,-132.520984,180,bottom
C4013,117.839492,-132.620984,0,bottom
C4014,117.484492,-131.380984,90,bottom
C4015,117.484492,-129.780984,90,bottom
C4016,118.184492,-128.970984,-90,bottom
C4017,118.634492,-127.720984,180,bottom
C4018,123.205492,-134.220984,180,bottom
C4020,128.114492,-135.260984,-90,bottom
C4021,126.734492,-135.255984,-90,bottom
C5003,157.35,-78.101,0,bottom
C5004,157.351,-79.11,0,bottom
C5005,149.04,-79.15,0,bottom
C5006,154.48,-81.718,180,bottom
C5007,153.121,-84.381,90,bottom
C5008,149.041,-80.12,0,bottom
C5009,154.481,-82.711,180,bottom
C5010,154.481,-80.721,180,bottom
C5013,153.081,-86.951,-90,bottom
C5014,151.981,-86.951,-90,bottom
C5015,149.058,-82.713,0,bottom
C5016,149.261,-84.7,0,bottom
C5017,149.261,-83.7,0,bottom
C5021,175.576,-92.901,-90,bottom
C6001,139.791,-121.666,0,bottom
C6002,141.821,-122.706,90,bottom
C6003,139.311,-126.186,0,bottom
C6004,139.221,-120.646,180,bottom
C6005,136.971,-126.196,180,bottom
C6006,171.401,-112.526,-90,bottom
C6007,169.951,-112.401,-90,bottom
C6008,136.331,-119.676,90,bottom
C6009,135.261,-119.676,90,bottom
C6012,164.74,-129.58,90,bottom
D1004,109.411,-134.411,90,bottom
D5001,150.601,-71.201,90,bottom
D5002,147.401,-71.201,90,bottom
D5003,149.001,-71.201,90,bottom
D6003,134.511,-123.626,0,bottom
D6004,134.511,-125.346,0,bottom
D6005,134.511,-127.066,0,bottom
FB3001,140.901,-98.881,-90,bottom
FB3002,140.901,-106.7494,-90,bottom
FB3003,140.901,-100.866,90,bottom
FB3004,140.901,-102.8352,-90,bottom
FB3005,140.901,-94.961,90,bottom
FB3006,140.901,-96.921,90,bottom
FB3007,106.411,-88.831,0,bottom
FB3008,110.371,-88.831,0,bottom
FB3009,108.391,-88.831,0,bottom
FB3010,140.901,-104.791,-90,bottom
FB4001,128.214492,-131.930984,180,bottom
FB5001,157.38,-77.09,0,bottom
FB5003,147.8,-85.4,90,bottom
L3001,159.101,-113.326,90,bottom
L3002,153.201,-117.495446,180,bottom
L3003,153.201,-121.295446,180,bottom
L3004,165.364812,-96.906,180,bottom
Q5001,155.271,-73.041,180,bottom
Q5002,155.271,-70.701,180,bottom
R1018,105.451,-117.241,90,bottom
R1019,114.561,-93.181,-90,bottom
R1045,110.931,-101.201,90,bottom
R1047,110.901,-105.661,90,bottom
R1052,110.901,-103.591,-90,bottom
R1053,109.621,-101.201,-90,bottom
R1054,134.76,-133.98,-90,bottom
R1055,136.15,-133.98,-90,bottom
R1056,137.28,-142.64,90,bottom
R1057,135.35,-142.62,90,bottom
R1058,134.4,-142.62,90,bottom
R1059,109.411,-136.881,-90,bottom
R1061,136.31,-142.63,-90,bottom
R3007,156.901,-125.221,90,bottom
R3008,113.171,-103.581,180,bottom
R3009,113.171,-104.551,0,bottom
R3010,167.143812,-103.415,180,bottom
R3011,168.647812,-102.936,-90,bottom
R3012,164.653812,-103.296,180,bottom
R3013,163.159437,-103.771,-90,bottom
R3014,164.653812,-102.259,180,bottom
R4001,119.051,-124.826,90,bottom
R4002,118.191,-124.826,90,bottom
R4009,123.204492,-135.330984,180,bottom
R4010,125.364492,-135.245984,-90,bottom
R5005,147.051,-74.486,90,bottom
R5006,141.911,-82.002,180,bottom
R5007,141.911,-80.539,180,bottom
R5027,178.401,-92.901,-90,bottom
R5028,157.126,-73.036,-90,bottom
R5029,153.426,-73.091,-90,bottom
R5030,157.126,-70.701,-90,bottom
R5031,153.426,-70.651,90,bottom
R5035,148.514,-74.486,90,bottom
R5036,145.588,-74.486,90,bottom
R5037,141.911,-79.076,180,bottom
R6012,141.071,-126.656,90,bottom
R6013,134.701,-122.226,0,bottom
R6015,129.591,-103.566,180,bottom
R6016,171.751,-109.491,180,bottom
R6017,171.751,-107.071,180,bottom
R6018,124.931,-105.186,180,bottom
R6019,142.301,-126.651,90,bottom
R6020,139.851,-123.096,180,bottom
U3001,161.101,-119.151,-90,bottom
U3002,166.627187,-101.55,90,bottom
X1002,107.691,-105.161,-90,bottom
C1001,148.41,-106.45,180,top
C1002,154.591,-104.056,0,top
C1003,150.891,-91.121,0,top
C1004,154.591,-102.946,0,top
C1007,111.04,-110.881,-90,top
C1008,111.05,-108.821,90,top
C1010,123.221,-87.801,0,top
C1011,105.131,-134.611,180,top
C2001,118.19,-79.17,-90,top
C2002,116.19,-80.67,-90,top
C3001,161.351,-114.126,90,top
C3004,156.251,-117.051,90,top
C3007,156.251,-122.001,-90,top
C3048,133.401,-107.331,-90,top
C3079,126.404,-91.822,-90,top
C3081,118.691,-85.341,90,top
C3084,119.841,-114.766,0,top
C3087,110.431,-116.716,-90,top
C3088,119.831,-115.526,0,top
C3089,109.141,-116.726,-90,top
C3121,139.111,-111.551,0,top
C4019,126.934492,-122.940984,90,top
C5001,155.726,-78.601,90,top
C5002,155.426,-84.646,-90,top
C5018,144.36,-84.42,-90,top
C5019,142.92,-84.14,-90,top
C5020,153.901,-77.051,0,top
C6010,158.415,-131.521,180,top
C6011,159.43,-129.705,-90,top
D1001,147.521,-110.831,90,top
D1002,149.166,-110.831,90,top
D1003,150.811,-110.831,90,top
D1005,108.261,-140.181,90,top
D1006,108.261,-137.741,-90,top
D6001,171.871,-106.841,0,top
D6002,171.871,-108.201,0,top
D7001,128.291,-141.151,90,top
D7002,126.401,-141.156,90,top
D7003,124.511,-141.161,90,top
FB1001,154.101,-101.356,-90,top
FB2001,119.9,-79.2,90,top
FB3011,129.031,-87.241,180,top
J1003,112.081,-138.991,90,top
J2001,102.24,-101.06,0,top
J2004,134.74,-68.87,-90,top
J6001,178.176,-108.021,90,top
J6002,169.236,-130.201,90,top
L5001,146.96,-84.48,90,top
L6001,168.721,-107.446,0,top
L6002,164.901,-126.626,0,top
R1001,146.181,-113.311,-90,top
R1002,135.196,-96.971,0,top
R1003,135.196,-98.810694,0,top
R1004,135.196,-100.650388,0,top
R1005,135.196,-102.490082,0,top
R1006,135.196,-104.329775,0,top
R1007,135.196,-106.169469,0,top
R1008,135.196,-108.009163,0,top
R1009,135.196,-109.848857,0,top
R1010,141.656,-109.829571,0,top
R1011,141.666,-107.989877,0,top
R1012,141.666,-106.150183,0,top
R1013,141.666,-104.310489,0,top
R1014,141.666,-102.470796,0,top
R1015,141.666,-100.631102,0,top
R1016,141.666,-98.791408,0,top
R1017,141.666,-96.951714,0,top
R1020,149.861,-100.427,90,top
R1021,151.161,-100.127,0,top
R1022,148.936,-100.427,90,top
R1023,149.201,-90.891,90,top
R1024,147.297667,-113.311,90,top
R1025,148.414333,-113.311,90,top
R1026,149.531,-113.311,90,top
R1027,138.426,-96.973143,0,top
R1028,138.451,-98.812837,0,top
R1029,138.451,-100.652531,0,top
R1030,138.451,-102.492225,0,top
R1031,138.451,-104.331918,0,top
R1032,138.451,-106.171612,0,top
R1033,138.451,-108.011306,0,top
R1034,138.451,-109.851,0,top
R1035,144.851,-109.839571,0,top
R1036,144.851,-107.998347,0,top
R1037,144.861,-106.157122,0,top
R1038,144.876,-104.315898,0,top
R1039,144.876,-102.474673,0,top
R1040,144.876,-100.633449,0,top
R1041,144.876,-98.792224,0,top
R1042,144.876,-96.951,0,top
R1043,108.287,-98.105,0,top
R1044,108.287,-99.198,0,top
R1046,110.773,-98.105,180,top
R1048,117.4,-93.22,-90,top
R1049,110.771,-101.621,180,top
R1051,110.771,-100.571,180,top
R1060,121.101,-91.591,90,top
R2001,109.039,-66.246,0,top
R2002,116.58,-72.685,-90,top
R3001,150.361,-130.601,180,top
R3002,150.361,-131.661,0,top
R3003,162.481,-124.671,90,top
R3004,166.921,-115.191,180,top
R3005,157.801,-116.391,-90,top
R3006,166.921,-116.311,180,top
R4003,127.374492,-121.021,-90,top
R4004,128.734492,-121.021,90,top
R4005,114.954492,-120.760984,90,top
R4006,115.061,-128.071,90,top
R4007,121.491,-114.871,90,top
R4008,114.944492,-122.900984,-90,top
R5001,148.514,-74.486,-90,top
R5002,145.588,-74.486,-90,top
R5003,141.911,-79.076,0,top
R5004,127.851,-91.626,-90,top
R5008,144.186,-79.076,0,top
R5009,145.588,-76.761,-90,top
R5010,147.051,-76.761,-90,top
R5011,148.514,-76.761,-90,top
R5012,144.186,-82.002,0,top
R5013,144.186,-80.539,0,top
R5014,128.706,-94.705,0,top
R5015,128.706,-93.301,0,top
R5016,128.691,-100.321,0,top
R5017,128.706,-98.917,0,top
R5018,128.706,-97.513,0,top
R5019,128.706,-96.109,0,top
R5020,149.18,-86.96,90,top
R5021,152.226,-86.951,90,top
R5022,151.22,-86.951,-90,top
R5023,153.601,-86.941,-90,top
R5024,150.2,-86.951,-90,top
R5026,171.911,-93.501,0,top
R5032,147.051,-74.486,-90,top
R5033,141.911,-82.002,0,top
R5034,141.911,-80.539,0,top
R5039,171.92,-94.47,0,top
R6001,128.256,-110.126,0,top
R6002,131.421,-101.461,180,top
R6003,131.421,-100.341,0,top
R6004,141.451,-113.636,-90,top
R6005,139.251,-113.636,-90,top
R6006,137.051,-113.636,-90,top
R6007,134.851,-113.636,-90,top
R6008,133.751,-113.636,-90,top
R6009,140.351,-113.636,-90,top
R6010,138.151,-113.636,-90,top
R6011,135.951,-113.636,-90,top
R6021,162.78,-132.591,0,top
R6022,161.19,-133.101,90,top
R6023,157.81,-129.226,0,top
R7001,121.771,-139.811,0,top
R7002,121.771,-140.991,0,top
R7003,121.771,-142.171,0,top
SW7001,151.941,-139.626,-90,top
SW7002,166.859402,-139.626,-90,top
SW7003,159.461,-139.626,-90,top
SW7004,144.441,-139.626,-90,top
U1001,150.086,-95.639,90,top
U1002,119.401,-101.916,90,top
U1003,106.141,-137.476,90,top
U1004,123.882,-90.0855,180,top
U2001,106.701,-76.701,90,top
U2002,126.09,-82.59,0,top
U4001,121.034492,-126.176,180,top
U5001,171.255,-81.966,-90,top
U5002,151.711,-81.7115,180,top
U5003,157.741,-80.126,180,top
U5004,157.741,-83.301,180,top
U6001,171.001,-112.8885,90,top
U6002,140.051,-122.426,0,top
U6003,162.1525,-130.176,0,top
X1001,149.661,-103.702,90,top
X1003,108.88,-109.851,90,top
